state,district,bio_total_sum,bio_total_mean,bio_total_std,bio_total_max,bio_total_min,demo_total_sum,demo_total_mean,demo_total_std,demo_total_max,demo_total_min,total_auth_sum,total_auth_mean,total_auth_std,total_auth_max,total_auth_min,bio_youth_sum,bio_youth_mean,bio_adult_sum,bio_adult_mean,demo_youth_sum,demo_youth_mean,demo_adult_sum,demo_adult_mean,num_pincodes,active_days,bio_demo_ratio,youth_adult_ratio,volume_per_pincode,daily_avg_volume,volatility_index,anomaly_label,anomaly_score,is_anomaly,anomaly_severity
100000,100000,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1,2,0.0,0.0,2.0,1.0,0.0,1,0.13301663264520386,0,10.45
Andaman & Nicobar Islands,Andamans,2198.0,4.139359698681733,18.547322818676122,259.0,0.0,793.0,1.4934086629001884,1.8656411363551835,9.0,0.0,2991.0,5.632768361581921,18.554529011807762,259.0,1.0,385.0,0.7250470809792844,1813.0,3.414312617702448,7.0,0.013182674199623353,786.0,1.4802259887005649,12,91,2.7683,0.1508,249.25,32.87,2.7974,1,0.1428225732324669,0,7.85
Andaman & Nicobar Islands,Nicobars,2.0,0.3333333333333333,0.5163977794943223,1.0,0.0,4.0,0.6666666666666666,0.5163977794943223,1.0,0.0,6.0,1.0,0.0,1.0,1.0,1.0,0.16666666666666666,1.0,0.16666666666666666,0.0,0.0,4.0,0.6666666666666666,1,5,0.4,0.1667,6.0,1.2,0.0,1,0.14362006907527264,0,7.63
Andaman & Nicobar Islands,South Andaman,416.0,1.3550488599348534,1.3238630271287015,7.0,0.0,314.0,1.022801302931596,1.1008617997825703,7.0,0.0,730.0,2.3778501628664497,1.5468388396261956,8.0,1.0,68.0,0.22149837133550487,348.0,1.1335504885993486,7.0,0.02280130293159609,307.0,1.0,6,81,1.3206,0.1143,121.67,9.01,0.4579,1,0.14376892953298204,0,7.59
Andaman and Nicobar Islands,Nicobar,2070.0,7.961538461538462,19.533518898507786,150.0,0.0,800.0,3.076923076923077,17.245049822825788,196.0,0.0,2870.0,11.038461538461538,33.17588644843486,345.0,1.0,1136.0,4.369230769230769,934.0,3.5923076923076924,59.0,0.22692307692307692,741.0,2.85,4,84,2.5843,0.713,717.5,34.17,2.7558,1,0.14655975539120164,0,6.85
Andaman and Nicobar Islands,North And Middle Andaman,7535.0,13.50358422939068,41.97762704166883,376.0,0.0,2065.0,3.7007168458781363,18.249862630173933,219.0,0.0,9600.0,17.204301075268816,55.447497441191,595.0,1.0,4431.0,7.940860215053763,3104.0,5.562724014336918,114.0,0.20430107526881722,1951.0,3.496415770609319,8,94,3.6471,0.8989,1200.0,102.13,3.0458,1,0.13253226958746717,0,10.58
Andaman and Nicobar Islands,South Andaman,11053.0,10.30102516309413,31.353243911895397,285.0,0.0,3542.0,3.3010251630941285,9.377239477411077,197.0,0.0,14595.0,13.602050326188257,35.82033155218776,479.0,1.0,7327.0,6.82851817334576,3726.0,3.472506989748369,458.0,0.42684063373718545,3084.0,2.8741845293569432,12,93,3.1197,1.143,1216.25,156.94,2.4531,1,0.11234684414661278,0,15.93
Andhra Pradesh,Adilabad,59136.0,12.127973748974568,34.571641392778815,696.0,0.0,30237.0,6.201189499589828,16.65080044646133,553.0,0.0,89373.0,18.3291632485644,42.928603083070584,984.0,1.0,13813.0,2.8328547990155863,45323.0,9.295118949958983,2664.0,0.5463494667760459,27573.0,5.654840032813782,48,95,1.9557,0.226,1861.94,940.77,2.2209,1,0.15008369502269941,0,5.92
Andhra Pradesh,Alluri Sitharama Raju,20832.0,6.785667752442997,22.305770544924872,292.0,0.0,13148.0,4.282736156351792,23.87350301709059,614.0,0.0,33980.0,11.068403908794789,38.33270701676764,685.0,0.0,9296.0,3.028013029315961,11536.0,3.7576547231270356,1607.0,0.5234527687296417,11541.0,3.75928338762215,42,95,1.5843,0.4724,809.05,357.68,3.1763,1,0.16488572350302538,0,1.99
Andhra Pradesh,Anakapalli,7687.0,2.325166364186328,8.075203376941735,120.0,0.0,13770.0,4.165154264972776,16.12274988249434,291.0,0.0,21457.0,6.490320629159105,20.411931711765774,364.0,0.0,4015.0,1.2144585601935873,3672.0,1.1107078039927405,1797.0,0.543557168784029,11973.0,3.6215970961887476,40,95,0.5582,0.3715,536.42,225.86,2.7251,1,0.1544024104636575,0,4.77
