state,district,avg_demand,demand_std,peak_demand,avg_growth_rate,demand_z_score,surge_score,surge_level
Maharashtra,Thane,6525.966666666666,3613.466169410095,13708.0,0.3742016439733716,7.23,232.78,Critical
West Bengal,North 24 Parganas,3636.866666666667,2266.1339664774873,12416.0,0.5209490158901335,3.675,218.51,Critical
Maharashtra,Pune,7315.866666666667,3731.453167363874,12815.0,0.3087443136470826,8.202,216.28,Critical
West Bengal,Murshidabad,3340.5666666666666,2022.6582148309162,10461.0,0.5337700015704228,3.311,188.95,Critical
Rajasthan,Jaipur,3794.0,2303.934954781074,9405.0,0.7033676422330526,3.869,181.5,Critical
Maharashtra,Nashik,4795.1,2648.7616150011404,9467.0,0.39515471027415006,5.1,167.65,Critical
Chhattisgarh,Mungeli,1483.0666666666666,1443.941443395134,7145.0,1.5060199074699938,1.025,160.21,Critical
Uttarakhand,Udham Singh Nagar,2728.4666666666667,1820.4824812032157,6553.0,1.4775882810459422,2.557,151.89,Critical
Chhattisgarh,Raipur,2478.9333333333334,1692.200667430011,6396.0,1.2145721574693915,2.25,149.32,Critical
Maharashtra,Jalgaon,2892.7,1823.4824233525976,7771.0,0.5706143627142194,2.759,149.22,Critical
Maharashtra,Mumbai,3979.8333333333335,2221.5593790652197,7594.0,0.6046068551759315,4.097,148.87,Critical
Gujarat,Ahmedabad,3873.0666666666666,2009.8890162074283,7786.0,0.5010639696118734,3.966,146.57,Critical
Chhattisgarh,Bilaspur,2788.3,1754.0923215195355,6293.0,0.9450345314292065,2.631,145.18,Critical
West Bengal,South 24 Parganas,2982.4,1488.6446184365159,7822.0,0.4136128387854496,2.87,142.21,Critical
Rajasthan,Alwar,2193.2,1435.8903137438624,6193.0,0.914683407268597,1.899,141.76,Critical
Maharashtra,Solapur,3678.133333333333,2124.871367033021,7726.0,0.3486874525529225,3.726,137.91,Critical
Uttarakhand,Haridwar,2677.766666666667,1635.2784363428193,5622.0,1.7049358543487358,2.495,137.56,Critical
Bihar,West Champaran,2775.633333333333,1546.297323493667,6233.0,0.7657260204653313,2.615,135.29,Critical
Bihar,Muzaffarpur,2861.0666666666666,1582.3983964405018,7208.0,0.46106758085128974,2.72,135.08,Critical
Andhra Pradesh,East Godavari,2642.0333333333333,1757.7995155254794,7171.0,0.4611573706008981,2.451,134.38,Critical
Rajasthan,Nagaur,1886.2333333333333,1292.8508910298904,5541.0,0.9283794890940363,1.521,132.25,Critical
Kerala,Malappuram,2974.9333333333334,1641.5903965012276,6354.0,0.652607554389843,2.861,131.61,Critical
Rajasthan,Bhilwara,1571.7333333333333,1104.9028958218014,5475.0,0.938436763375649,1.134,131.55,Critical
West Bengal,Nadia,2205.5666666666666,1430.268402188502,6757.0,0.5310058927842338,1.914,131.25,Critical
Andhra Pradesh,Kurnool,2392.8333333333335,1507.7658302437335,6744.0,0.4918698568521048,2.144,129.2,Critical
