state,district,total_volume,daily_avg,daily_std,peak_day,num_pincodes,estimated_daily_capacity,load_ratio,peak_load_ratio,volatility_cv,DLI,load_status,recommendation
100000,100000,2.0,1.0,0.0,1.0,1,500,0.002,0.002,0.0,0.14,Under-utilized,Consider: Reallocate resources to high-load areas
Andaman & Nicobar Islands,Andamans,731.0,4.016483516483516,3.628425643291876,16.0,9,4500,0.001,0.004,0.723,21.85,Optimal,Optimal: Maintain current allocation
Andaman & Nicobar Islands,Nicobars,1.0,1.0,,1.0,1,500,0.002,0.002,,,,Consider: Reallocate resources to high-load areas
Andaman & Nicobar Islands,South Andaman,208.0,2.311111111111111,1.379174516537399,7.0,5,2500,0.001,0.003,0.417,12.64,Under-utilized,Consider: Reallocate resources to high-load areas
Andaman and Nicobar Islands,Nicobar,372.0,4.96,5.458541533750172,29.0,4,2000,0.002,0.014,0.916,27.98,Optimal,Optimal: Maintain current allocation
Andaman and Nicobar Islands,North And Middle Andaman,1228.0,6.9772727272727275,8.219805034500194,46.0,7,3500,0.002,0.013,1.03,31.37,Optimal,Optimal: Maintain current allocation
Andaman and Nicobar Islands,South Andaman,2962.0,8.414772727272727,7.908566378960358,50.0,12,6000,0.001,0.008,0.84,25.48,Optimal,Optimal: Maintain current allocation
Andhra Pradesh,Adilabad,16606.0,10.333540759178593,10.27490208214579,69.0,48,24000,0.0,0.003,0.907,27.3,Optimal,Optimal: Maintain current allocation
Andhra Pradesh,Alluri Sitharama Raju,5531.0,5.581231079717457,5.637107476812386,41.0,41,20500,0.0,0.002,0.857,25.77,Optimal,Optimal: Maintain current allocation
Andhra Pradesh,Anakapalli,5570.0,4.7688356164383565,3.953195058544204,24.0,39,19500,0.0,0.001,0.685,20.58,Optimal,Optimal: Maintain current allocation
Andhra Pradesh,Anantapur,31911.0,9.723034734917734,9.104748528697202,80.0,91,45500,0.0,0.002,0.849,25.53,Optimal,Optimal: Maintain current allocation
Andhra Pradesh,Ananthapur,15234.0,5.334033613445378,5.847427680983654,52.0,94,47000,0.0,0.001,0.923,27.72,Optimal,Optimal: Maintain current allocation
Andhra Pradesh,Ananthapuramu,20434.0,6.804528804528805,9.168099590574071,93.0,95,47500,0.0,0.002,1.175,35.31,Optimal,Optimal: Maintain current allocation
Andhra Pradesh,Annamayya,7384.0,5.248045486851457,8.914100587168464,83.0,46,23000,0.0,0.004,1.427,42.93,Moderate,Monitor: Review weekly
Andhra Pradesh,Bapatla,4474.0,3.323922734026746,3.0591163881999317,25.0,56,28000,0.0,0.001,0.707,21.24,Optimal,Optimal: Maintain current allocation
Andhra Pradesh,Chittoor,62023.0,17.422191011235956,20.615987754279615,206.0,100,50000,0.0,0.004,1.119,33.69,Optimal,Optimal: Maintain current allocation
Andhra Pradesh,Cuddapah,46659.0,15.704813194210704,17.181425656789127,229.0,82,41000,0.0,0.006,1.029,31.05,Optimal,Optimal: Maintain current allocation
