state,district,total_auth_sum,is_anomaly,anomaly_severity,QDI,qdi_status,needs_audit,bio_ratio,demo_ratio,DLI,load_status,recommendation,load_ratio,surge_score,surge_level,priority_score,priority_level
100000,100000,2.0,0,10.45,60.0,Critical,1,0.0,0.6667,0.14,Under-utilized,Consider: Reallocate resources to high-load areas,0.002,-0.38,Low,18.04,Medium
Andaman & Nicobar Islands,Andamans,2991.0,0,7.85,-13.46,Good,0,0.7346,0.265,21.85,Optimal,Optimal: Maintain current allocation,0.001,50.91,Elevated,11.65,Low
Andaman & Nicobar Islands,Nicobars,6.0,0,7.63,31.43,Concern,1,0.2857,0.5714,0.0,Optimal,Consider: Reallocate resources to high-load areas,0.002,-0.37,Low,9.43,Low
Andaman & Nicobar Islands,South Andaman,730.0,0,7.59,3.09,Watch,0,0.5691,0.4295,12.64,Under-utilized,Consider: Reallocate resources to high-load areas,0.001,32.14,Normal,7.93,Low
Andaman and Nicobar Islands,Nicobar,2870.0,0,6.85,-12.1,Good,0,0.721,0.2786,27.98,Optimal,Optimal: Maintain current allocation,0.002,10.61,Normal,9.46,Low
Andaman and Nicobar Islands,North And Middle Andaman,9600.0,0,10.58,-18.48,Good,0,0.7848,0.2151,31.37,Optimal,Optimal: Maintain current allocation,0.002,52.13,Elevated,14.62,Low
Andaman and Nicobar Islands,South Andaman,14595.0,0,15.93,-15.73,Good,0,0.7573,0.2427,25.48,Optimal,Optimal: Maintain current allocation,0.001,52.89,Elevated,12.93,Low
Andhra Pradesh,Adilabad,89373.0,0,5.92,-6.17,Good,0,0.6617,0.3383,27.3,Optimal,Optimal: Maintain current allocation,0.0,59.43,Elevated,14.13,Low
Andhra Pradesh,Alluri Sitharama Raju,33980.0,0,1.99,-1.3,Good,0,0.613,0.3869,25.77,Optimal,Optimal: Maintain current allocation,0.0,37.12,Normal,11.44,Low
Andhra Pradesh,Anakapalli,21457.0,0,4.77,24.18,Concern,1,0.3582,0.6417,20.58,Optimal,Optimal: Maintain current allocation,0.0,44.58,Normal,17.89,Medium
Andhra Pradesh,Anantapur,178053.0,0,14.93,-0.1,Good,0,0.601,0.399,25.53,Optimal,Optimal: Maintain current allocation,0.0,73.35,Elevated,14.99,Low
Andhra Pradesh,Ananthapur,123665.0,0,40.63,-14.91,Good,0,0.7491,0.2509,27.72,Optimal,Optimal: Maintain current allocation,0.0,43.56,Normal,12.67,Low
